"11123","2H AB"
"11124","PERSIANA AB"
"11128","Casa AB"
"11130","R2A 19CC"
"11131","Casa AB"
"11132","1J AB"
"11133","1E AB"
"11134","1i AB"
"11136","1E AB"
"11137","2F AB"
"11138","6D AB"
"11140","Casa AB"
"11141","Casa AB"
"11143","1D AB"
"11144","2E AB"
"11145","5b AB"
"11146","7i AB"
"11148","1G 19P"
"11149","1G 19P"
"11152","1H 18V"
"11153","2G AB"
"11154","1G AB"
"11155","2G AB"
"11158","2i AB"
"11163","2F AB"
"11164","1F AB"
"11168","1G 17JM"
"11170","2H JM17"
"11172","2i 17JM"
"11179","2i 17JM"
"11183","R2A 19CC"
"11186","2F AB"
"11187","7C AB"
"11190","Casa AB"
"11191","Casa AB"
"11193","2G AB"
"11195","2F 7C AB"
"11196","3H AB"
"11198","1G AB"
"11200","2B 19CC"
"11203","3C Luisa"
"11211","2H AB"
"11212","3G AB"
"11213","2F AB"
"11215","1E AB"
"11216","1E AB"
"11217","1E AB"
"11222","1E AB"
"11224","1E AB"
"11225","1E AB"
"11226","1E AB"
"11227","1E AB"
"11228","1E AB"
"11229","1E AB"
"11230","1E AB"
"11231","Cajón3 AB"
"11237","1i AB"
"11238","1E AB"
"11239","1E AB"
"11240","1E AB"
"11242","3G AB"
"11243","3G AB"
"11256","2H AB"
"11257","2G AB"
"11260","2J 19P"
"11262","1F AB"
"11264","7G AB"
"11265","1G JM17"
"11266","cajon1 AB"
"11268","2E AB"
"11269","2E AB"
"11270","3H AB"
"11271","2f AB"
"11273","1G AB"
"11274","3e AB"
"11275","2F AB"
"11276","3E AB"
"11277","2E AB"
"11278","Casa AB"
"11280","7c AB"
"11283","3E AB"
"11284","2E AB"
"11287","1H AB"
"11290","b1G 19P"
"11294","Cajón3 AB"
"11297","Casa AB"
"11298","3H AB"
"11301","2F AB"
"11302","2F CC19"
"11303","6F AB"
"11304","2H 17JM"
"11305","2H AB"
"11308","5D AB"
"11310","2e AB"
"11311","2E AB"
"11312","2f AB"
"11313","5H 18R"
"11314","3H AB"
"11316","2d 19CC"
"11317","2E 18R"
"11319","2p 18V"
"11321","2J AB"
"11322","1G 17JM"
"11326","6F AB"
"11327","5H AB"
"11328","3H AB"
"11331","3E AB"
"11336","3E AB"
"11337","1i AB"
"11338","3H AB"
"11343","1i AB"
"11344","3H AB"
"11346","1i AB"
"11351","2H AB"
"11353","2E AB"
"11354","2E AB"
"11363","1G 19P"
"11364","1G 19P"
"11365","9F 19P"
"11369","3i AB "
"11373","Casa AB"
"11374","Casa AB"
"11375","Casa AB"
"11376","Casa AB"
"11377","Casa AB"
"11378","Caja "
"11379","Casa AB"
"11380","Casa AB"
"11381","Casa AB"
"11388","2G AB"
"11389","Agfa"
"11390","6F AB"
"11400","3H AB"
"11401","2G AB"
"11402","2F AB"
"11405","Casa AB"
"11406","Casa AB"
"11407","Casa AB"
"11408","Casa AB"
"11410","Casa AB"
"11411","Casa AB"
"11412","Casa AB"
"11413","Casa AB"
"11414","Casa AB"
"11415","Casa AB"
"11416","Casa AB"
"11417","Casa AB"
"11418","Casa AB"
"11419","Casa AB"
"11420","Casa AB"
"11421","Casa AB"
"11422","Casa AB"
"11423","Casa AB"
"11424","Casa AB"
"11425","Casa AB"
"11426","Casa AB"
"11427","Casa AB"
"11428","Casa AB"
"11429","Cajón3 AB"
"11432","3E AB"
"11437","3H AB"
"11440","3H AB"
"11441","1E AB"
"11449","2F AB"
"11450","3E AB"
"11451","1E AB"
"11452","2i AB"
"11453","2H AB"
"11455","1g AB"
"11459","4B AB"
"11461","3H AB"
"11464","6J AB"
"11468","3H AB"
"11469","1E AB"
"11470","4i AB"
"11475","3H AB"
"11480","3H AB"
"11483","3B AB"
"11485","3C AB"
"11486","6D AB"
"11487","2E AB"
"11488","2E AB"
"11489","2E AB"
"11491","6F AB"
"11492","6F AB"
"11493","3H AB"
"11496","3C AB"
"11499","Cajón3 AB"
"11501","3E AB"
"11510","3E AB"
"11511","3E AB"
"11518","3C AB"
"11519","2G AB"
"11520","6E AB"
"11523","9f 18R"
"11527","1E 18R"
"11530","2C 17JM"
"11531","14F F.del L."
"11537","5F 17JM"
"11539","Cajón3 19CC"
"11540","1G 19CC"
"11544","6E 19CC"
"11545","1i 19CC"
"11546","6E 19CC"
"11559","1H AB"
"11560","1H AB"
"11563","1c AB"
"11564","3H AB"
"11565","1c AB"
"11569","1G LUISA"
"11570","1F AB"
"11571","1H 18R"
"11573","1H AB"
"11577","1B AB"
"11582","2E AB"
"11583","2f AB"
"11584","1B Luisa"
"11585","2H Luisa"
"11587","1B Luisa"
"11590","1b AB"
"11591","1b AB"
"11593","1e AB"
"11596","2H AB"
"11605","1E Luisa"
"11607","3H AB"
"11609","3H AB"
"11610","3D AB"
"11611","3G AB"
"11614","1B Luisa"
"11617","1B Luisa"
"11618","1B Luisa"
"11619","2F AB"
"11620","3H LLL"
"11622","3H LLL"
"11626","3D Luisa"
"11627","3D Luisa"
"11629","2H 20H"
"11632","2i AB"
"11636","2i AB"
"11641","INCOG AB"
"11643","5c AB"
"11644","5c AB"
"11645","2i AB"
"11648","6G AB (FUNDA)"
"11649","2E AB"
"11650","2i AB"
"11652","2i AB"
"11657","2i AB"
"11658","1G AB"
"11665","1i Luisa"
"11670","1i Luisa"
"11671","2E AB"
"11673","2E AB"
"11674","2E"
"11677","5c AB"
"11681","2E AB"
"11682","2G AB"
"11683","2E AB"
"11701","1C 18G"
"11703","1C 18G"
"11705","1C 18G"
"11708","1C 18G"
"11709","1C 18G"
"11711","1C 18G"
"11725","9E 18G"
"11736","3D ¿?"
"11766","2F AB"
"11769","6D AB"
"11772","2G AB"
"11773","2G AB"
"11780","7g AB"
"11781","7g AB"
"11785","2G AB"
"11788","7F AB"
"11789","2F AB"
"11792","2F AB"
"11793","2F AB"
"11794","2F AB"
"11795","2F AB"
"11800","2G AB"
"11802","2F AB"
"11803","4C AB"
"11804","4C AB"
"11806","2G AB"
"11807","1E AB"
"11808","2G AB"
"11809","2K AB"
"11812","2E AB"
"11813","2B AB"
"11815","2B AB"
"11816","2F AB"
"11819","2B AB"
"11823","2F AB"
"11824","2i AB"
"11834","B3E 18G"
"11841","7F AB"
"11843","1F AB"
"11845","6F AB"
"11846","2B AB"
"11852","1F AB"
"11853","1F AB"
"11856","4H 19CC"
"11860","1H AB"
"11861","2G AB"
"11863","2E AB"
"11866","2E AB"
"11868","2E AB"
"11873","2E AB"
"11874","3G AB"
"11876","3G AB"
"11877","3G AB"
"11879","3G AB"
"11881","3G AB"
"11882","3G AB"
"11883","3G AB"
"11884","3G AB"
"11885","3G AB"
"11886","3G AB"
"11887","3G AB"
"11888","3G AB"
"11889","3G AB"
"11890","3G AB"
"11894","3G AB"
"11899","1G 18G"
"11909","6F 19CC"
"11921","4C AB"
"11922","2E AB"
"11928","1G LLL"
"11932","1G LLL"
"11957","9E LLL"
"11961","1F AB"
"11963","1F AB"
"11965","1F AB"
"11967","1F AB"
"11970","1F AB"
"11974","2D AB"
"11975","2G AB"
"11978",""
"11979","2G AB"
"11982","2G AB"
"11985","2G AB"
"11986","2G AB"
"11987","2G AB"
"11988","2G AB"
"11990","2G AB"
"11993","1E AB"
"11994","1E AB"
"11995","1E AB"
"11996","1E AB"
"11997","1E AB"
"11998","1E AB"
"12003","1D AB"
"12004","1E AB"
"12008","2d AB"
"12011","6i 18G"
"12018","6i LLL"
"12020","6i 19CC"
"12025","6H LLL"
"12032","6C LLL"
"12033","1i LLL"
"12043","2F 19CC"
"12046","2b 19CC"
"12048","2F 19CC"
"12050","2D 19CC"
"12051","2B 19FA"
"12052","2B 19CC"
"12053","2i 19CC"
